Model,RMSE,MAE,R2_Score,MAPE,Training_Time_s
XGBoost,465.7846790166543,201.74757919248012,0.9963250600529961,4.182371644685932,7.262031078338623
Random Forest,488.20204376908003,82.92088742835966,0.9959628114354458,1.172244856191003,958.108452796936
Linear Regression,2746.8463457125927,1753.9868866278548,0.8721947833796072,105.98389077156038,1.27278470993042
