Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,Training_Time_s
XGBoost,0.9771245059288538,0.9754387535379152,0.9771245059288538,0.975207291404261,0.999010926050181,26.062338829040527
Random Forest,0.9434412055335968,0.9389902339704853,0.9434412055335968,0.9237714083780697,0.9924211474577748,122.19738698005676
Logistic Regression,0.9135251976284585,0.8830386639661636,0.9135251976284585,0.8949179058842182,0.9751114224202861,12.03034496307373
